Date,Open,High,Low,Close,Volume
2011-07-25,133.33,134.49,133.16,133.83,29304475
2011-07-26,133.75,133.96,133.03,133.36,24547552
2011-07-27,132.58,132.59,130.43,130.6,51722673
2011-07-28,130.62,131.76,130.01,130.16,39631184
2011-07-29,128.9,130.54,128.36,129.05,66254029
2011-08-01,130.95,130.96,127.53,128.71,62287734
2011-08-02,127.77,128.5,125.49,125.49,68408133
2011-08-03,125.66,126.3,123.54,126.21,77953786
2011-08-04,124.42,124.62,120.06,120.18,115977597
2011-08-05,121.9,122.07,116.87,119.98,148649784
2011-08-08,116.98,118.34,112.08,112.26,143151350
2011-08-09,114.25,117.49,110.27,117.37,151964090
2011-08-10,115.18,116.28,111.96,112.35,135389984
2011-08-11,113.45,118.92,112.85,117.28,104588853
2011-08-12,118.55,119.22,117.28,118.15,64114613
2011-08-15,119.24,120.74,119.0,120.55,56149713
2011-08-16,119.34,120.68,118.31,119.56,54731359
2011-08-17,120.31,121.2,118.72,119.67,43197692
2011-08-18,116.5,116.64,113.39,114.61,88643661
2011-08-19,112.91,115.87,112.5,112.68,80390466
2011-08-22,115.12,115.23,112.41,112.73,58657733
2011-08-23,113.17,116.54,112.58,116.46,65298215
2011-08-24,116.18,118.24,115.92,118.13,45888408
2011-08-25,118.8,119.4,115.87,116.31,60216045
2011-08-26,115.66,118.51,113.85,118.04,59570790
2011-08-29,119.52,121.42,119.48,121.38,39759253
2011-08-30,120.86,122.42,119.94,121.62,49826540
2011-08-31,122.48,123.51,121.31,122.06,65533346
2011-09-01,122.25,123.4,120.78,120.96,49230680
2011-09-02,118.47,119.07,117.43,117.84,54415932
2011-09-06,114.43,117.16,114.41,116.99,57447305
2011-09-07,118.85,120.33,118.37,120.27,44821031
2011-09-08,119.59,120.93,118.77,119.02,50782957
2011-09-09,117.68,118.1,115.28,115.86,71945536
2011-09-12,114.49,116.76,114.05,116.66,64719715
2011-09-13,117.08,118.18,116.22,117.58,58712643
2011-09-14,118.32,120.8,116.72,119.36,66294135
2011-09-15,120.55,121.47,119.57,121.47,66196390
2011-09-16,121.31,121.97,120.33,121.58,56247212
2011-09-19,119.56,120.93,118.72,120.31,47651461
2011-09-20,120.83,121.99,120.01,120.17,46846428
2011-09-21,120.26,120.59,116.44,116.51,74321850
2011-09-22,113.28,114.21,111.3,112.8,96017495
2011-09-23,112.16,114.16,112.02,113.54,64624239
2011-09-26,114.64,116.4,112.98,116.25,58993835
2011-09-27,118.53,119.56,116.84,117.6,69465586
2011-09-28,117.83,118.48,114.97,115.16,59746767
2011-09-29,117.12,117.63,113.94,116.02,65282987
2011-09-30,114.45,115.44,113.07,113.17,59865530
2011-10-03,112.5,113.95,109.82,109.93,73743732
2011-10-04,108.43,112.58,107.43,112.13,95735838
2011-10-05,112.59,114.72,111.58,114.5,65015723
2011-10-06,114.35,116.66,113.51,116.51,55805613
2011-10-07,117.16,117.24,115.06,115.75,76608699
2011-10-10,117.72,119.63,117.67,119.59,48106568
2011-10-11,118.85,120.03,118.75,119.68,38618931
2011-10-12,120.6,122.13,120.33,120.67,56817480
2011-10-13,120.03,120.87,119.12,120.47,44956240
2011-10-14,121.86,122.6,121.23,122.56,43756387
2011-10-17,121.99,122.06,119.93,120.24,43306475
2011-10-18,120.08,123.5,119.2,122.61,66897430
2011-10-19,122.33,123.08,120.72,121.14,44676650
2011-10-20,121.36,122.09,119.82,121.69,58232571
2011-10-21,123.07,124.12,122.72,123.91,54726464
2011-10-24,124.14,125.79,124.06,125.49,40550810
2011-10-25,124.93,124.94,122.78,123.08,55330266
2011-10-26,124.35,124.77,122.21,124.33,62984557
2011-10-27,127.7,129.41,126.61,127.43,84203637
2011-10-28,127.98,128.85,127.8,128.68,39809147
2011-10-31,127.23,127.26,125.32,125.45,43967241
2011-11-01,122.0,123.5,121.52,122.08,92917571
2011-11-02,123.88,124.4,122.8,123.99,53303725
2011-11-03,125.31,126.5,123.6,126.24,61861885
2011-11-04,125.23,125.69,124.02,125.45,44477724
2011-11-07,125.43,126.39,124.21,126.28,40221254
2011-11-08,126.93,128.02,125.71,127.86,45497628
2011-11-09,124.91,125.46,122.87,123.19,71335815
2011-11-10,124.8,124.93,123.02,124.32,45816627
2011-11-11,125.86,126.99,125.8,126.62,36249442
2011-11-14,126.21,126.35,124.92,125.46,29118865
2011-11-15,125.12,126.75,124.72,126.12,36056725
2011-11-16,124.81,126.33,123.9,124.05,49588936
2011-11-17,123.84,124.15,121.24,122.18,63908830
2011-11-18,122.46,122.75,121.47,121.99,44737467
2011-11-21,120.21,120.34,118.66,119.62,43463571
2011-11-22,119.39,120.1,118.53,119.19,43397130
2011-11-23,,,,116.56,0
2011-11-25,116.38,117.7,116.2,116.2,21312446
